Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
RECLTD.ns,2023-06-23,0.0,0.38,156.0,160.9,155.45,163.85,128.35,163.85,91.65,Bullish,0.004265842521232847,1.6520387748653271,NIFTYMIDCAP100
HIL.ns,2023-06-23,0.0,0.38,3102.45,3180.0,3076.65,3241.5,2604.0,3241.5,2239.45,Bullish,1,1,NiftyMicroCap250
SHRIRAMFIN.ns,2023-06-23,0.0,0.38,1676.65,1708.55,1641.85,1734.35,1306.0,1734.35,1192.4,Bullish,0.006423852296490283,1.6787678187893826,NIFTYMIDCAP100
HARSHA.ns,2023-06-23,0.0,0.25,470.45,473.8,414.75,470.45,414.75,470.45,322.8,Bullish,1,1,NiftyMicroCap250
HATHWAY.ns,2023-06-23,0.0,0.38,15.35,15.85,15.3,15.6,13.1,19.15,12.45,Bullish,1,1,NiftyMicroCap250
HEMIPROP.ns,2023-06-23,0.0,0.25,96.3,98.35,96.1,99.9,92.15,118.0,81.4,Bullish,1,1,NiftyMicroCap250
M&M.NS,2023-06-23,0.0,0.25,1373.25,1379.6,1368.5,1411.2,1251.3,1411.2,1128.3,Bullish,0.001509958659299498,0.8031854829026339,Nifty100
HERANBA.ns,2023-06-23,0.0,0.62,385.3,399.85,377.35,401.75,317.35,537.4,267.4,Bullish,1,1,NiftyMicroCap250
RAYMOND.ns,2023-06-23,0.0,0.31,1669.65,1709.9,1651.2,1746.7,1492.05,1746.7,1098.95,Bullish,1,1,Niftysmallcap100
TATACOMM.ns,2023-06-23,0.0,0.44,1560.85,1589.7,1555.55,1639.8,1222.0,1639.8,1176.95,Bullish,0.006207683143492274,2.393088721493679,NIFTYMIDCAP100
HERITGFOOD.ns,2023-06-23,0.0,0.44,212.45,215.0,209.45,220.15,189.0,371.5,137.25,Bullish,1,1,NiftyMicroCap250
HSCL.ns,2023-06-23,0.0,0.25,131.05,134.45,130.5,135.3,117.45,135.3,81.0,Bullish,1,1,NiftyMicroCap250
ROUTE.ns,2023-06-23,0.0,0.25,1554.05,1607.95,1540.05,1642.15,1390.0,1642.15,1142.2,Bullish,1,1,Niftysmallcap100
MUTHOOTFIN.NS,2023-06-23,0.0,0.5,1221.85,1227.0,1195.05,1231.1,1046.0,1231.1,915.8,Bullish,0.00455404366399672,0.9259621226841536,Nifty100
HCC.ns,2023-06-23,0.0,0.44,19.85,20.8,19.6,21.0,16.75,21.95,12.75,Bullish,1,1,NiftyMicroCap250
SAPPHIRE.ns,2023-06-23,0.0,0.25,1358.0,1396.9,1350.1,1455.25,1284.0,1479.05,1149.4,Bullish,1,1,Niftysmallcap100
NTPC.NS,2023-06-23,0.0,0.56,186.7,187.5,183.75,188.2,171.85,188.2,163.0,Bullish,0.002921514889030321,0.49988427555455295,Nifty100
HINDWAREAP.ns,2023-06-23,0.0,0.25,524.85,543.75,509.1,538.85,401.95,538.85,331.35,Bullish,1,1,NiftyMicroCap250
NESTLEIND.NS,2023-06-23,0.0,0.44,22536.85,22619.95,22453.65,22968.55,21275.0,22968.55,17993.35,Bullish,0.0016109136128579552,1.1829191520425035,Nifty100
TRENT.ns,2023-06-23,0.0,0.5,1724.95,1743.9,1694.7,1724.95,1478.1,1724.95,1176.3,Bullish,0.00469827161159645,0.7573444696504253,NIFTYMIDCAP100
ICRA.ns,2023-06-23,0.0,0.25,5068.5,5100.0,5000.0,5068.5,4695.8,5155.15,3972.5,Bullish,1,1,NiftyMicroCap250
SUZLON.ns,2023-06-23,0.0,0.25,13.85,14.15,13.25,15.3,8.5,15.3,7.05,Bullish,1,1,Niftysmallcap100
TRIDENT.ns,2023-06-23,0.0,0.25,33.45,34.95,33.35,34.75,31.95,38.8,25.25,Bullish,0.0012074176704258799,0.30766912100472665,NIFTYMIDCAP100
PIIND.NS,2023-06-23,0.0,0.38,3807.4,3867.85,3792.75,3972.45,3256.45,3972.45,2903.7,Bullish,0.003993299881100684,2.019159639988087,Nifty100
TANLA.ns,2023-06-23,0.0,0.31,1000.6,1028.55,985.05,1052.2,713.6,1052.2,509.8,Bullish,1,1,Niftysmallcap100
TEJASNET.ns,2023-06-23,0.0,0.5,728.95,744.8,725.3,758.2,640.6,758.2,518.55,Bullish,1,1,Niftysmallcap100
PIDILITIND.NS,2023-06-23,0.0,0.38,2658.3,2683.6,2636.0,2697.7,2496.0,2772.4,2268.15,Bullish,0.0012623250123118524,0.9376916023097733,Nifty100
UBL.ns,2023-06-23,0.0,0.38,1490.15,1515.0,1482.0,1512.2,1393.6,1783.55,1369.55,Bullish,9.65170238696085e-05,0.5872370506966534,NIFTYMIDCAP100
POWERGRID.NS,2023-06-23,0.0,0.5,250.1,254.65,249.55,258.2,230.0,258.2,208.1,Bullish,0.0030781869994319084,1.3329637414645286,Nifty100
ICIL.ns,2023-06-23,0.0,0.31,196.5,202.5,194.15,211.05,152.65,211.05,102.85,Bullish,1,1,NiftyMicroCap250
SBILIFE.NS,2023-06-23,0.0,0.25,1262.7,1274.9,1260.5,1295.35,1144.85,1323.1,1062.65,Bullish,0.0014022226253859386,1.8307593060020557,Nifty100
YESBANK.ns,2023-06-23,0.0,0.31,16.0,16.1,15.9,16.75,15.5,23.95,14.75,Bullish,0.0002542091962985662,0.07855741269949544,NIFTYMIDCAP100
